Rv_ID	gene_name	Description	Expt	log2FC	q-val	q_val_D	UK_score_4
Rv0030	-	hypothetical protein	2003A_Sassetti				4
Rv0031	-	Possible remnant of a transposase	2003A_Sassetti				3
Rv0032	bioF2	Possible 8-amino-7-oxononanoate synthase BioF2 (AONS) (8-amino-7-ketopelargonate synthase) (7-keto-8-amino-pelargonic acid synthetase) (7-KAP synthetase) (L-alanine--pimelyl CoA ligase)	2003A_Sassetti				0
Rv0033	acpA	Probable acyl carrier protein AcpA (ACP)	2003A_Sassetti				0
Rv0034	-	hypothetical protein	2003A_Sassetti				4
Rv0035	fadD34	Probable fatty-acid-CoA ligase FadD34 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)	2003A_Sassetti				1
Rv0036c	-	hypothetical protein	2003A_Sassetti				4
Rv0037c	-	Probable conserved integral membrane protein	2003A_Sassetti				3
Rv0038	-	hypothetical protein	2003A_Sassetti				3
Rv0039c	-	Possible conserved transmembrane protein	2003A_Sassetti				4
Rv0040c	mtc28	Secreted proline rich protein Mtc28 (proline rich 28 kDa antigen)	2003A_Sassetti				3
Rv0041	leuS	Probable leucyl-tRNA synthetase LeuS (leucine--tRNA ligase) (LEURS)	2003A_Sassetti	-3.13836789926065	3.8358845E-05	3	0
Rv0042c	-	Possible transcriptional regulatory protein (probably MarR-family)	2003A_Sassetti				2
Rv0043c	-	Probable transcriptional regulatory protein (probably GntR-family)	2003A_Sassetti				1
Rv0044c	-	Possible oxidoreductase	2003A_Sassetti				2
Rv0045c	-	Possible hydrolase	2003A_Sassetti				3
Rv0046c	ino1	myo-inositol-1-phosphate synthase Ino1 (inositol 1-phosphate synthetase) (D-glucose 6-phosphate cycloaldolase) (glucose 6-phosphate cyclase) (glucocycloaldolase)	2003A_Sassetti				1
Rv0047c	-	hypothetical protein	2003A_Sassetti				3
Rv0048c	-	Possible membrane protein	2003A_Sassetti				4
Rv0049	-	hypothetical protein	2003A_Sassetti				4
Rv0050	ponA1	Probable bifunctional penicillin-binding protein 1A/1B PonA1 (murein polymerase) (PBP1): penicillin-insensitive transglycosylase (peptidoglycan TGASE) + penicillin-sensitive transpeptidase (DD-transpeptidase)	2003A_Sassetti				0
Rv0051	-	Probable conserved transmembrane protein	2003A_Sassetti				3
Rv0052	-	hypothetical protein	2003A_Sassetti				4
Rv0053	rpsF	30S ribosomal protein S6 RpsF	2003A_Sassetti				0
Rv0054	ssb	Single-strand binding protein Ssb (helix-destabilizing protein)	2003A_Sassetti				0
Rv0055	rpsR1	30S ribosomal protein S18-1 RpsR1	2003A_Sassetti				0
Rv0056	rplI	50S ribosomal protein L9 RplI	2003A_Sassetti				0
Rv0057	-	Hypothetical protein	2003A_Sassetti				4
Rv0058	dnaB	Probable replicative DNA helicase DnaB	2003A_Sassetti	-3.85814181409331	0.00033531184	3	0
Rv0059	-	Hypothetical protein	2003A_Sassetti				4
Rv0060	-	hypothetical protein	2003A_Sassetti	-2.56361161244133	0.014818167	2	4
Rv0061	-		2003A_Sassetti				2
Rv0062	celA1	Possible cellulase CelA1 (endoglucanase) (endo-1,4-beta-glucanase) (FI-cmcase) (carboxymethyl cellulase)	2003A_Sassetti				0
Rv0063	-	Possible oxidoreductase	2003A_Sassetti				2
Rv0064	-	Probable conserved transmembrane protein	2003A_Sassetti				3
Rv0065	vapC1	Possible toxin VapC1	2003A_Sassetti				3
Rv0066c	icd2	Probable isocitrate dehydrogenase [NADP] Icd2 (oxalosuccinate decarboxylase) (IDH) (NADP+-specific ICDH) (IDP)	2003A_Sassetti				0
Rv0067c	-	Possible transcriptional regulatory protein (possibly TetR-family)	2003A_Sassetti				1
Rv0068	-	Probable oxidoreductase	2003A_Sassetti				3
Rv0069c	sdaA	Probable L-serine dehydratase SdaA (L-serine deaminase) (SDH) (L-SD)	2003A_Sassetti				0
Rv0070c	glyA2	Serine hydroxymethyltransferase GlyA2 (serine methylase 2) (SHMT 2)	2003A_Sassetti				0
Rv0071	-	Possible maturase	2003A_Sassetti				2
Rv0072	-	Probable glutamine-transport transmembrane protein ABC transporter	2003A_Sassetti				1
Rv0073	-	Probable glutamine-transport ATP-binding protein ABC transporter	2003A_Sassetti				1
Rv0074	-	hypothetical protein	2003A_Sassetti				3
Rv0075	-	Probable aminotransferase	2003A_Sassetti				2
Rv0076c	-	Probable membrane protein	2003A_Sassetti				3
Rv0077c	-	Probable oxidoreductase	2003A_Sassetti				3
Rv0078	-	Probable transcriptional regulatory protein	2003A_Sassetti				1
Rv0078A	-	Hypothetical protein	2003A_Sassetti				3
Rv0079	-	hypothetical protein	2003A_Sassetti				3
Rv0080	-	hypothetical protein	2003A_Sassetti				4
Rv0081	-	Probable transcriptional regulatory protein	2003A_Sassetti				1
Rv0082	-	Probable oxidoreductase	2003A_Sassetti				2
Rv0083	-	Probable oxidoreductase	2003A_Sassetti				2
Rv0084	hycD	Possible formate hydrogenlyase HycD (FHL)	2003A_Sassetti				0
Rv0085	hycP	Possible hydrogenase HycP	2003A_Sassetti	-3.01168040279565	0.00052088645	3	0
Rv0086	hycQ	Possible hydrogenase HycQ	2003A_Sassetti	-2.30737512338097	0.0015854313	3	0
Rv0087	hycE	Possible formate hydrogenase HycE (FHL)	2003A_Sassetti				0
Rv0088	-	Possible polyketide cyclase/dehydrase	2003A_Sassetti				3
Rv0089	-	Possible methyltransferase/methylase	2003A_Sassetti				2
Rv0090	-	Possible membrane protein	2003A_Sassetti				3
Rv0091	mtn	Probable bifunctional MTA/SAH nucleosidase Mtn: 5'-methylthioadenosine nucleosidase (methylthioadenosine methylthioribohydrolase) + S-adenosylhomocysteine nucleosidase (S-adenosyl-L-homocysteine homocysteinylribohydrolase)	2003A_Sassetti				1
Rv0092	ctpA	Cation transporter P-type ATPase a CtpA	2003A_Sassetti				0
Rv0093c	-	Probable conserved membrane protein	2003A_Sassetti				4
Rv0094c	-	hypothetical protein	2003A_Sassetti				3
Rv0095c	-	hypothetical protein	2003A_Sassetti				3
Rv0096	PPE1	PPE family protein PPE1	2003A_Sassetti				2
Rv0097	-	Possible oxidoreductase	2003A_Sassetti				3
Rv0098	fcoT	Probable fatty acyl CoA thioesterase type III FcoT	2003A_Sassetti				2
Rv0099	fadD10	Possible fatty-acid-CoA ligase FadD10 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)	2003A_Sassetti				1
Rv0100	-	hypothetical protein	2003A_Sassetti				3
Rv0101	nrp	Probable peptide synthetase Nrp (peptide synthase)	2003A_Sassetti				0
Rv0102	-	Probable conserved integral membrane protein	2003A_Sassetti	-5.15166806802793	0.00073020655	3	3
Rv0103c	ctpB	Probable cation-transporter P-type ATPase B CtpB	2003A_Sassetti				0
Rv0104	-	hypothetical protein	2003A_Sassetti				3
Rv0105c	rpmB1	50S ribosomal protein L28-1 RpmB1	2003A_Sassetti				0
Rv0106	-	hypothetical protein	2003A_Sassetti				4
Rv0107c	ctpI	Probable cation-transporter ATPase I CtpI	2003A_Sassetti				0
Rv0108c	-	Hypothetical protein	2003A_Sassetti				4
Rv0109	PE_PGRS1	PE-PGRS family protein PE_PGRS1	2003A_Sassetti				2
Rv0110	-	Probable conserved integral membrane protein	2003A_Sassetti				3
Rv0111	-	Possible transmembrane acyltransferase	2003A_Sassetti				2
Rv0112	gca	Possible GDP-mannose 4,6-dehydratase Gca (GDP-D-mannose dehydratase)	2003A_Sassetti	-3.45795199219954	0.0011067449	3	0
Rv0113	gmhA	Probable sedoheptulose-7-phosphate isomerase GmhA (phosphoheptose isomerase)	2003A_Sassetti				0
Rv0114	gmhB	Possible D-alpha,beta-D-heptose-1,7-biphosphate phosphatase GmhB (D-glycero-D-manno-heptose 7-phosphate kinase)	2003A_Sassetti				0
Rv0115	hddA	Possible D-alpha-D-heptose-7-phosphate kinase HddA	2003A_Sassetti				2
Rv0116c	ldtA	Probable L,D-transpeptidase LdtA	2003A_Sassetti				2
Rv0117	oxyS	Oxidative stress response regulatory protein OxyS	2003A_Sassetti				0
Rv0118c	oxcA	Probable oxalyl-CoA decarboxylase OxcA	2003A_Sassetti	-2.70529957684512	0.026991209	2	0
Rv0119	fadD7	Probable fatty-acid-CoA ligase FadD7 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)	2003A_Sassetti				1
Rv0120c	fusA2	Probable elongation factor G FusA2 (EF-G)	2003A_Sassetti				0
Rv0121c	-	hypothetical protein	2003A_Sassetti				4
Rv0122	-	Hypothetical protein	2003A_Sassetti				4
Rv0123	-	hypothetical protein	2003A_Sassetti				4
Rv0124	PE_PGRS2	PE-PGRS family protein PE_PGRS2	2003A_Sassetti				2
Rv0125	pepA	Probable serine protease PepA (serine proteinase) (MTB32A)	2003A_Sassetti				1
Rv0126	treS	Trehalose synthase TreS	2003A_Sassetti				0
Rv0127	mak	Maltokinase Mak	2003A_Sassetti	-2.3580383126715	0.024420165	2	1
Rv0128	-	Probable conserved transmembrane protein	2003A_Sassetti				4
Rv0129c	fbpC	Secreted antigen 85-C FbpC (85C) (antigen 85 complex C) (AG58C) (mycolyl transferase 85C) (fibronectin-binding protein C)	2003A_Sassetti				1
Rv0130	htdZ	Probable 3-hydroxyl-thioester dehydratase	2003A_Sassetti				2
Rv0131c	fadE1	Probable acyl-CoA dehydrogenase FadE1	2003A_Sassetti				1
Rv0132c	fgd2	Putative F420-dependent glucose-6-phosphate dehydrogenase Fgd2	2003A_Sassetti				0
Rv0133	-	GCN5-related N-acetyltransferase	2003A_Sassetti				3
Rv0134	ephF	Possible epoxide hydrolase EphF (epoxide hydratase) (arene-oxide hydratase)	2003A_Sassetti				1
Rv0135c	-	Possible transcriptional regulatory protein	2003A_Sassetti				1
Rv0136	cyp138	Probable cytochrome P450 138 Cyp138	2003A_Sassetti				0
Rv0137c	msrA	Probable peptide methionine sulfoxide reductase MsrA (protein-methionine-S-oxide reductase) (peptide met(O) reductase)	2003A_Sassetti				0
Rv0138	-	hypothetical protein	2003A_Sassetti				4
Rv0139	-	Possible oxidoreductase	2003A_Sassetti				2
Rv0140	-	hypothetical protein	2003A_Sassetti				4
Rv0141c	-	hypothetical protein	2003A_Sassetti				4
Rv0142	-	hypothetical protein	2003A_Sassetti				3
Rv0143c	-	Probable conserved transmembrane protein	2003A_Sassetti				2
Rv0144	-	Probable transcriptional regulatory protein (possibly TetR-family)	2003A_Sassetti				1
Rv0145	-	Possible S-adenosylmethionine-dependent methyltransferase	2003A_Sassetti				2
Rv0146	-	Possible S-adenosylmethionine-dependent methyltransferase	2003A_Sassetti				2
Rv0147	-	Probable aldehyde dehydrogenase (NAD+) dependent	2003A_Sassetti				2
Rv0148	-	Probable short-chain type dehydrogenase/reductase	2003A_Sassetti				3
Rv0149	-	Possible quinone oxidoreductase (NADPH:quinone oxidoreductase) (zeta-crystallin)	2003A_Sassetti				2
Rv0150c	-	hypothetical protein	2003A_Sassetti				4
Rv0151c	PE1	PE family protein PE1	2003A_Sassetti				2
Rv0152c	PE2	PE family protein PE2	2003A_Sassetti				2
Rv0153c	ptbB	Phosphotyrosine protein phosphatase PTPB (protein-tyrosine-phosphatase) (PTPase)	2003A_Sassetti				0
Rv0154c	fadE2	Probable acyl-CoA dehydrogenase FadE2	2003A_Sassetti				1
Rv0155	pntAa	Probable NAD(P) transhydrogenase (subunit alpha) PntAa [first part; catalytic part] (pyridine nucleotide transhydrogenase subunit alpha) (nicotinamide nucleotide transhydrogenase subunit alpha)	2003A_Sassetti				0
Rv0156	pntAb	Probable NAD(P) transhydrogenase (subunit alpha) PntAb [second part; integral membrane protein] (pyridine nucleotide transhydrogenase subunit alpha) (nicotinamide nucleotide transhydrogenase subunit alpha)	2003A_Sassetti				0
Rv0157	pntB	Probable NAD(P) transhydrogenase (subunit beta) PntB [integral membrane protein] (pyridine nucleotide transhydrogenase subunit beta) (nicotinamide nucleotide transhydrogenase subunit beta)	2003A_Sassetti				0
Rv0158	-	Probable transcriptional regulatory protein (possibly TetR-family)	2003A_Sassetti				1
Rv0159c	PE3	PE family protein PE3	2003A_Sassetti				2
Rv0160c	PE4	PE family protein PE4	2003A_Sassetti				2
Rv0161	-	Possible oxidoreductase	2003A_Sassetti				2
Rv0162c	adhE1	Probable zinc-type alcohol dehydrogenase (E subunit) AdhE1	2003A_Sassetti				0
Rv0163	-	hypothetical protein	2003A_Sassetti				3
Rv0164	TB18.5	Conserved protein TB18.5	2003A_Sassetti				2
Rv0165c	mce1R	Probable transcriptional regulatory protein Mce1R (probably GntR-family)	2003A_Sassetti				0
Rv0166	fadD5	Probable fatty-acid-CoA ligase FadD5 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)	2003A_Sassetti				1
Rv0167	yrbE1A	Conserved integral membrane protein YrbE1A	2003A_Sassetti				1
Rv0168	yrbE1B	Conserved integral membrane protein YrbE1B	2003A_Sassetti				1
Rv0169	mce1A	Mce-family protein Mce1A	2003A_Sassetti				1
Rv0170	mce1B	Mce-family protein Mce1B	2003A_Sassetti				1
Rv0171	mce1C	Mce-family protein Mce1C	2003A_Sassetti				1
Rv0172	mce1D	Mce-family protein Mce1D	2003A_Sassetti				1
Rv0173	lprK	Possible Mce-family lipoprotein LprK (Mce-family lipoprotein Mce1E)	2003A_Sassetti				1
Rv0174	mce1F	Mce-family protein Mce1F	2003A_Sassetti				1
Rv0175	-	Probable conserved Mce associated membrane protein	2003A_Sassetti				4
Rv0176	-	Probable conserved Mce associated transmembrane protein	2003A_Sassetti				4
Rv0177	-	Probable conserved Mce associated protein	2003A_Sassetti				4
Rv0178	-	Probable conserved Mce associated membrane protein	2003A_Sassetti				4
Rv0179c	lprO	Possible lipoprotein LprO	2003A_Sassetti				2
Rv0180c	-	Probable conserved transmembrane protein	2003A_Sassetti				3
Rv0181c	-	hypothetical protein	2003A_Sassetti				4
Rv0182c	sigG	Probable alternative RNA polymerase sigma factor SigG (RNA polymerase ECF type sigma factor)	2003A_Sassetti				0
Rv0183	-	Possible lysophospholipase	2003A_Sassetti				2
Rv0184	-	hypothetical protein	2003A_Sassetti				4
Rv0185	-	hypothetical protein	2003A_Sassetti				4
Rv0186	bglS	Probable beta-glucosidase BglS (gentiobiase) (cellobiase) (beta-D-glucoside glucohydrolase)	2003A_Sassetti				0
Rv0187	-	Probable O-methyltransferase	2003A_Sassetti				2
Rv0188	-	Probable conserved transmembrane protein	2003A_Sassetti				3
Rv0189c	ilvD	Probable dihydroxy-acid dehydratase IlvD (dad)	2003A_Sassetti	-3.44670115783447	0.0006298191	3	0
Rv0190	-	hypothetical protein	2003A_Sassetti				4
Rv0191	-	Probable conserved integral membrane protein	2003A_Sassetti				2
Rv0192	-	hypothetical protein	2003A_Sassetti				4
Rv0192A	-	Conserved secreted protein	2003A_Sassetti				3
Rv0193c	-	Hypothetical protein	2003A_Sassetti				4
Rv0194	-	Probable transmembrane multidrug efflux pump	2003A_Sassetti				1
Rv0195	-	Possible two component transcriptional regulatory protein (probably LuxR-family)	2003A_Sassetti				1
Rv0196	-	Possible transcriptional regulatory protein	2003A_Sassetti				1
Rv0197	-	Possible oxidoreductase	2003A_Sassetti				3
Rv0198c	zmp1	Probable zinc metalloprotease Zmp1	2003A_Sassetti				1
Rv0199	-	Probable conserved membrane protein	2003A_Sassetti				4
Rv0200	-	Possible conserved transmembrane protein	2003A_Sassetti				3
Rv0201c	-	hypothetical protein	2003A_Sassetti				3
Rv0202c	mmpL11	Probable conserved transmembrane transport protein MmpL11	2003A_Sassetti				2
Rv0203	-	Possible exported protein	2003A_Sassetti				4
Rv0204c	-	Probable conserved transmembrane protein	2003A_Sassetti				3
Rv0205	-	Probable conserved transmembrane protein	2003A_Sassetti	-2.69188958805469	0.0012095013	3	3
Rv0206c	mmpL3	Possible conserved transmembrane transport protein MmpL3	2003A_Sassetti				2
Rv0207c	-	hypothetical protein	2003A_Sassetti				4
Rv0208c	-	Hypothetical methlytransferase (methylase)	2003A_Sassetti	-3.11428045978734	0.0054932497	3	3
Rv0209	-	Hypothetical protein	2003A_Sassetti				4
Rv0210	-	Hypothetical protein	2003A_Sassetti				4
Rv0211	pckA	Probable iron-regulated phosphoenolpyruvate carboxykinase [GTP] PckA (phosphoenolpyruvate carboxylase) (PEPCK)(pep carboxykinase)	2003A_Sassetti				0
Rv0212c	nadR	Possible transcriptional regulatory protein NadR (probably AsnC-family)	2003A_Sassetti				0
Rv0213c	-	Possible methyltransferase (methylase)	2003A_Sassetti				1
Rv0214	fadD4	Probable fatty-acid-CoA ligase FadD4 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)	2003A_Sassetti				1
Rv0215c	fadE3	Probable acyl-CoA dehydrogenase FadE3	2003A_Sassetti				1
Rv0216	-	Double hotdog hydratase	2003A_Sassetti				3
Rv0217c	lipW	Possible esterase LipW	2003A_Sassetti				1
Rv0218	-	Probable conserved transmembrane protein	2003A_Sassetti				3
Rv0219	-	Probable conserved transmembrane protein	2003A_Sassetti				4
Rv0220	lipC	Probable esterase LipC	2003A_Sassetti				1
Rv0221	-	Possible triacylglycerol synthase (diacylglycerol acyltransferase)	2003A_Sassetti				2
Rv0222	echA1	Probable enoyl-CoA hydratase EchA1 (enoyl hydrase) (unsaturated acyl-CoA hydratase) (crotonase)	2003A_Sassetti				0
Rv0223c	-	Probable aldehyde dehydrogenase	2003A_Sassetti				1
Rv0224c	-	Possible methyltransferase (methylase)	2003A_Sassetti	-2.81956510546409	0.0020217712	3	2
Rv0225	-	Possible conserved protein	2003A_Sassetti				1
Rv0226c	-	Probable conserved transmembrane protein	2003A_Sassetti	-4.82272643445226	3.2127613E-05	3	3
Rv0227c	-	Probable conserved membrane protein	2003A_Sassetti	-4.72587075962069	2.259879E-05	3	3
Rv0228	-	Probable integral membrane acyltransferase	2003A_Sassetti	-3.79298925314084	0.002282899	3	2
Rv0229c	-	Possible conserved membrane protein with PIN domain	2003A_Sassetti				4
Rv0230c	php	Probable phosphotriesterase Php (parathion hydrolase) (PTE) (aryldialkylphosphatase) (paraoxonase) (a-esterase) (aryltriphosphatase) (paraoxon hydrolase)	2003A_Sassetti				3
Rv0231	fadE4	Probable acyl-CoA dehydrogenase FadE4	2003A_Sassetti				1
Rv0232	-	Probable transcriptional regulatory protein (probably TetR/AcrR-family)	2003A_Sassetti				1
Rv0233	nrdB	Ribonucleoside-diphosphate reductase (beta chain) NrdB (ribonucleotide reductase small chain)	2003A_Sassetti				0
Rv0234c	gabD1	Succinate-semialdehyde dehydrogenase [NADP+] dependent (SSDH) GabD1	2003A_Sassetti				0
Rv0235c	-	Probable conserved transmembrane protein	2003A_Sassetti				4
Rv0236c	aftD	Possible arabinofuranosyltransferase AftD	2003A_Sassetti	-4.67207170862706	0.0010937641	3	1
Rv0236A	-	Small secreted protein	2003A_Sassetti				3
Rv0237	lpqI	Probable conserved lipoprotein LpqI	2003A_Sassetti				1
Rv0238	-	Possible transcriptional regulatory protein (probably TetR-family)	2003A_Sassetti				1
Rv0239	vapB24	Possible antitoxin VapB24	2003A_Sassetti				3
Rv0240	vapC24	Possible toxin VapC24 Contains PIN domain	2003A_Sassetti				3
Rv0241c	htdX	Probable 3-hydroxyacyl-thioester dehydratase HtdX	2003A_Sassetti				1
Rv0242c	fabG4	Probable 3-oxoacyl-[acyl-carrier protein] reductase FabG4 (3-ketoacyl-acyl carrier protein reductase)	2003A_Sassetti				1
Rv0243	fadA2	Probable acetyl-CoA acyltransferase FadA2 (3-ketoacyl-CoA thiolase) (beta-ketothiolase)	2003A_Sassetti				1
Rv0244c	fadE5	Probable acyl-CoA dehydrogenase FadE5	2003A_Sassetti				1
Rv0245	-	Possible oxidoreductase	2003A_Sassetti				3
Rv0246	-	Probable conserved integral membrane protein	2003A_Sassetti				3
Rv0247c	-	Probable succinate dehydrogenase [iron-sulfur subunit] (succinic dehydrogenase)	2003A_Sassetti				1
Rv0248c	-	Probable succinate dehydrogenase [iron-sulfur subunit] (succinic dehydrogenase)	2003A_Sassetti				1
Rv0249c	-	Probable succinate dehydrogenase [membrane anchor subunit] (succinic dehydrogenase)	2003A_Sassetti				2
Rv0250c	-	hypothetical protein	2003A_Sassetti				4
Rv0251c	hsp	Heat shock protein Hsp (heat-stress-induced ribosome-binding protein A)	2003A_Sassetti				0
Rv0252	nirB	Probable nitrite reductase [NAD(P)H] large subunit [FAD flavoprotein] NirB	2003A_Sassetti				0
Rv0253	nirD	Probable nitrite reductase [NAD(P)H] small subunit NirD	2003A_Sassetti				1
Rv0254c	cobU	Probable bifunctional cobalamin biosynthesis protein CobU: cobinamide kinase + cobinamide phosphate guanylyltransferase	2003A_Sassetti				0
Rv0255c	cobQ1	Probable cobyric acid synthase CobQ1	2003A_Sassetti				0
Rv0256c	PPE2	PPE family protein PPE2	2003A_Sassetti				2
Rv0257	-	hypothetical protein	2003A_Sassetti				3
Rv0258c	-	hypothetical protein	2003A_Sassetti				4
Rv0259c	-	hypothetical protein	2003A_Sassetti				4
Rv0260c	-	Possible transcriptional regulatory protein	2003A_Sassetti				1
Rv0261c	narK3	Probable integral membrane nitrite extrusion protein NarK3 (nitrite facilitator)	2003A_Sassetti				0
Rv0262c	aac	Aminoglycoside 2'-N-acetyltransferase Aac (Aac(2')-IC)	2003A_Sassetti				1
Rv0263c	-	hypothetical protein	2003A_Sassetti				3
Rv0264c	-	hypothetical protein	2003A_Sassetti				3
Rv0265c	-	Probable periplasmic iron-transport lipoprotein	2003A_Sassetti				1
Rv0266c	oplA	Probable 5-oxoprolinase OplA (5-oxo-L-prolinase) (pyroglutamase) (5-OPASE)	2003A_Sassetti				1
Rv0267	narU	Probable integral membrane nitrite extrusion protein NarU (nitrite facilitator)	2003A_Sassetti				0
Rv0268c	-	Hypothetical protein	2003A_Sassetti				3
Rv0269c	-	hypothetical protein	2003A_Sassetti				3
Rv0270	fadD2	Probable fatty-acid-CoA ligase FadD2 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)	2003A_Sassetti				1
Rv0271c	fadE6	Probable acyl-CoA dehydrogenase FadE6	2003A_Sassetti				1
Rv0272c	-	hypothetical protein	2003A_Sassetti				4
Rv0273c	-	Possible transcriptional regulatory protein	2003A_Sassetti				1
Rv0274	-	hypothetical protein	2003A_Sassetti				3
Rv0275c	-	Possible transcriptional regulatory protein (possibly TetR-family)	2003A_Sassetti				1
Rv0276	-	hypothetical protein	2003A_Sassetti				4
Rv0277c	vapC25	Possible toxin VapC25 Contains PIN domain	2003A_Sassetti				3
Rv0278c	PE_PGRS3	PE-PGRS family protein PE_PGRS3	2003A_Sassetti				2
Rv0279c	PE_PGRS4	PE-PGRS family protein PE_PGRS4	2003A_Sassetti				2
Rv0280	PPE3	PPE family protein PPE3	2003A_Sassetti				2
Rv0281	-	Possible S-adenosylmethionine-dependent methyltransferase	2003A_Sassetti				2
Rv0282	eccA3	ESX conserved component EccA3 ESX-3 type VII secretion system protein	2003A_Sassetti	-5.50570569680861	3.382147E-05	3	2
Rv0283	eccB3	ESX conserved component EccB3 ESX-3 type VII secretion system protein Possible membrane protein	2003A_Sassetti	-5.57376580552605	7.048787E-06	3	3
Rv0284	eccC3	ESX conserved component EccC3 ESX-3 type VII secretion system protein Possible membrane protein	2003A_Sassetti	-5.45846660535039	0.00039866005	3	2
Rv0285	PE5	PE family protein PE5	2003A_Sassetti	-2.66900955599167	0.00032359626	3	2
Rv0286	PPE4	PPE family protein PPE4	2003A_Sassetti	-5.48441119504207	3.2336116E-05	3	2
Rv0287	esxG	ESAT-6 like protein EsxG (conserved protein TB9.8)	2003A_Sassetti				3
Rv0288	esxH	Low molecular weight protein antigen 7 EsxH (10 kDa antigen) (CFP-7) (protein TB10.4)	2003A_Sassetti				3
Rv0289	espG3	ESX-3 secretion-associated protein EspG3	2003A_Sassetti	-4.46587348573306	0.00017155152	3	3
Rv0290	eccD3	ESX conserved component EccD3 ESX-3 type VII secretion system protein Probable transmembrane protein	2003A_Sassetti	-5.73105658358588	9.7816985E-05	3	2
Rv0291	mycP3	Probable membrane-anchored mycosin MycP3 (serine protease) (subtilisin-like protease) (subtilase-like) (mycosin-3)	2003A_Sassetti	-4.36004773420741	0.011891295	2	0
Rv0292	eccE3	ESX conserved component EccE3 ESX-3 type VII secretion system protein Probable transmembrane protein	2003A_Sassetti	-2.78738444584635	0.031465102	2	2
Rv0293c	-	hypothetical protein	2003A_Sassetti				4
Rv0294	tam	Probable trans-aconitate methyltransferase Tam	2003A_Sassetti				2
Rv0295c	-	hypothetical protein	2003A_Sassetti				4
Rv0296c	-	Probable sulfatase	2003A_Sassetti				2
Rv0297	PE_PGRS5	PE-PGRS family protein PE_PGRS5	2003A_Sassetti				2
Rv0298	-	Hypothetical protein	2003A_Sassetti				4
Rv0299	-	Hypothetical protein	2003A_Sassetti				3
Rv0300	vapB2	Possible antitoxin VapB2	2003A_Sassetti				3
Rv0301	vapC2	Possible toxin VapC2	2003A_Sassetti				3
Rv0302	-	Probable transcriptional regulatory protein (probably TetR/AcrR-family)	2003A_Sassetti				1
Rv0303	-	Probable dehydrogenase/reductase	2003A_Sassetti				3
Rv0304c	PPE5	PPE family protein PPE5	2003A_Sassetti				2
