Rv_ID,gene_name,Description,Expt,log2FC,q-val,# control reps,# experimental reps,meaning,paper_title,paper_URL
Rv0011c,Rv0011c,Probable conserved transmembrane protein,nambi_2015_ctpC_vs_nambi_2015_wt,0,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0012,Rv0012,Probable conserved membrane protein,nambi_2015_ctpC_vs_nambi_2015_wt,1.49,0.62862,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0013,trpG,Possible anthranilate synthase component II TrpG (glutamine amidotransferase),nambi_2015_ctpC_vs_nambi_2015_wt,-2.66,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0014c,pknB,Transmembrane serine/threonine-protein kinase B PknB (protein kinase B) (STPK B),nambi_2015_ctpC_vs_nambi_2015_wt,0.14,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0015c,pknA,Transmembrane serine/threonine-protein kinase A PknA (protein kinase A) (STPK A),nambi_2015_ctpC_vs_nambi_2015_wt,0.37,0.97527,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0016c,pbpA,Probable penicillin-binding protein PbpA,nambi_2015_ctpC_vs_nambi_2015_wt,-0.73,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0017c,rodA,Probable cell division protein RodA,nambi_2015_ctpC_vs_nambi_2015_wt,-0.58,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0018c,pstP,Phosphoserine/threonine phosphatase PstP,nambi_2015_ctpC_vs_nambi_2015_wt,1.39,0.69751,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0019c,fhaB,"Conserved protein with FHA domain, FhaB",nambi_2015_ctpC_vs_nambi_2015_wt,-0.78,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0020c,fhaA,"Conserved protein with FHA domain, FhaA",nambi_2015_ctpC_vs_nambi_2015_wt,-0.43,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0021c,Rv0021c,hypothetical protein,nambi_2015_ctpC_vs_nambi_2015_wt,-1.11,0.43268,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0022c,whiB5,Probable transcriptional regulatory protein WhiB-like WhiB5,nambi_2015_ctpC_vs_nambi_2015_wt,-1.3,0.97527,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0023,Rv0023,Possible transcriptional regulatory protein,nambi_2015_ctpC_vs_nambi_2015_wt,0,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0024,Rv0024,Putative secreted protein P60-related protein,nambi_2015_ctpC_vs_nambi_2015_wt,1.01,0.81255,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0025,Rv0025,hypothetical protein,nambi_2015_ctpC_vs_nambi_2015_wt,-3.05,0.97527,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0026,Rv0026,hypothetical protein,nambi_2015_ctpC_vs_nambi_2015_wt,0.7,0.97527,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0027,Rv0027,hypothetical protein,nambi_2015_ctpC_vs_nambi_2015_wt,6.59,0.39308,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0028,Rv0028,hypothetical protein,nambi_2015_ctpC_vs_nambi_2015_wt,-2.1,0.7161,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0029,Rv0029,hypothetical protein,nambi_2015_ctpC_vs_nambi_2015_wt,-0.28,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0030,Rv0030,hypothetical protein,nambi_2015_ctpC_vs_nambi_2015_wt,1.17,0.97527,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0031,Rv0031,Possible remnant of a transposase,nambi_2015_ctpC_vs_nambi_2015_wt,0,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0032,bioF2,Possible 8-amino-7-oxononanoate synthase BioF2 (AONS) (8-amino-7-ketopelargonate synthase) (7-keto-8-amino-pelargonic acid synthetase) (7-KAP synthetase) (L-alanine--pimelyl CoA ligase),nambi_2015_ctpC_vs_nambi_2015_wt,-0.28,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0033,acpA,Probable acyl carrier protein AcpA (ACP),nambi_2015_ctpC_vs_nambi_2015_wt,-0.19,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0034,Rv0034,hypothetical protein,nambi_2015_ctpC_vs_nambi_2015_wt,-0.18,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0035,fadD34,Probable fatty-acid-CoA ligase FadD34 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase),nambi_2015_ctpC_vs_nambi_2015_wt,0.41,0.97527,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0036c,Rv0036c,hypothetical protein,nambi_2015_ctpC_vs_nambi_2015_wt,1.35,0.75756,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0037c,Rv0037c,Probable conserved integral membrane protein,nambi_2015_ctpC_vs_nambi_2015_wt,-1.2,0.77116,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0038,Rv0038,hypothetical protein,nambi_2015_ctpC_vs_nambi_2015_wt,0.33,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0039c,Rv0039c,Possible conserved transmembrane protein,nambi_2015_ctpC_vs_nambi_2015_wt,0.3,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0040c,mtc28,Secreted proline rich protein Mtc28 (proline rich 28 kDa antigen),nambi_2015_ctpC_vs_nambi_2015_wt,2.67,0.28605,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0041,leuS,Probable leucyl-tRNA synthetase LeuS (leucine--tRNA ligase) (LEURS),nambi_2015_ctpC_vs_nambi_2015_wt,0,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0042c,Rv0042c,Possible transcriptional regulatory protein (probably MarR-family),nambi_2015_ctpC_vs_nambi_2015_wt,-1.55,0.87129,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0043c,Rv0043c,Probable transcriptional regulatory protein (probably GntR-family),nambi_2015_ctpC_vs_nambi_2015_wt,-0.32,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0044c,Rv0044c,Possible oxidoreductase,nambi_2015_ctpC_vs_nambi_2015_wt,-0.16,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0045c,Rv0045c,Possible hydrolase,nambi_2015_ctpC_vs_nambi_2015_wt,-0.55,0.97527,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0046c,ino1,myo-inositol-1-phosphate synthase Ino1 (inositol 1-phosphate synthetase) (D-glucose 6-phosphate cycloaldolase) (glucose 6-phosphate cyclase) (glucocycloaldolase),nambi_2015_ctpC_vs_nambi_2015_wt,0,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0047c,Rv0047c,hypothetical protein,nambi_2015_ctpC_vs_nambi_2015_wt,-2.78,0.62087,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0048c,Rv0048c,Possible membrane protein,nambi_2015_ctpC_vs_nambi_2015_wt,-0.96,0.86321,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0049,Rv0049,hypothetical protein,nambi_2015_ctpC_vs_nambi_2015_wt,0.38,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0050,ponA1,Probable bifunctional penicillin-binding protein 1A/1B PonA1 (murein polymerase) (PBP1): penicillin-insensitive transglycosylase (peptidoglycan TGASE) + penicillin-sensitive transpeptidase (DD-transpeptidase),nambi_2015_ctpC_vs_nambi_2015_wt,-0.46,0.97527,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0051,Rv0051,Probable conserved transmembrane protein,nambi_2015_ctpC_vs_nambi_2015_wt,-0.84,0.62087,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0052,Rv0052,hypothetical protein,nambi_2015_ctpC_vs_nambi_2015_wt,-0.87,0.93908,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0053,rpsF,30S ribosomal protein S6 RpsF,nambi_2015_ctpC_vs_nambi_2015_wt,0,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0054,ssb,Single-strand binding protein Ssb (helix-destabilizing protein),nambi_2015_ctpC_vs_nambi_2015_wt,0,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0055,rpsR1,30S ribosomal protein S18-1 RpsR1,nambi_2015_ctpC_vs_nambi_2015_wt,-2.99,0.97527,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0056,rplI,50S ribosomal protein L9 RplI,nambi_2015_ctpC_vs_nambi_2015_wt,-1.56,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0057,Rv0057,Hypothetical protein,nambi_2015_ctpC_vs_nambi_2015_wt,0.35,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0058,dnaB,Probable replicative DNA helicase DnaB,nambi_2015_ctpC_vs_nambi_2015_wt,0,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0059,Rv0059,Hypothetical protein,nambi_2015_ctpC_vs_nambi_2015_wt,-0.78,0.91716,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0060,Rv0060,hypothetical protein,nambi_2015_ctpC_vs_nambi_2015_wt,0.37,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0061c,Rv0061c,Hypothetical protein,nambi_2015_ctpC_vs_nambi_2015_wt,-0.21,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0062,celA1,"Possible cellulase CelA1 (endoglucanase) (endo-1,4-beta-glucanase) (FI-cmcase) (carboxymethyl cellulase)",nambi_2015_ctpC_vs_nambi_2015_wt,-0.59,0.97527,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0063,Rv0063,Possible oxidoreductase,nambi_2015_ctpC_vs_nambi_2015_wt,-0.72,0.86887,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0064,Rv0064,Probable conserved transmembrane protein,nambi_2015_ctpC_vs_nambi_2015_wt,-0.83,0.57283,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0064A,vapB1,Possible antitoxin VapB1,nambi_2015_ctpC_vs_nambi_2015_wt,0.17,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0065,vapC1,Possible toxin VapC1,nambi_2015_ctpC_vs_nambi_2015_wt,-1.01,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0066c,icd2,Probable isocitrate dehydrogenase [NADP] Icd2 (oxalosuccinate decarboxylase) (IDH) (NADP+-specific ICDH) (IDP),nambi_2015_ctpC_vs_nambi_2015_wt,1.53,0.01552,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0067c,Rv0067c,Possible transcriptional regulatory protein (possibly TetR-family),nambi_2015_ctpC_vs_nambi_2015_wt,0.74,0.91607,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0068,Rv0068,Probable oxidoreductase,nambi_2015_ctpC_vs_nambi_2015_wt,-0.09,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0069c,sdaA,Probable L-serine dehydratase SdaA (L-serine deaminase) (SDH) (L-SD),nambi_2015_ctpC_vs_nambi_2015_wt,0.1,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0070c,glyA2,Serine hydroxymethyltransferase GlyA2 (serine methylase 2) (SHMT 2),nambi_2015_ctpC_vs_nambi_2015_wt,-0.91,0.84385,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0071,Rv0071,Possible maturase,nambi_2015_ctpC_vs_nambi_2015_wt,-0.51,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0072,Rv0072,Probable glutamine-transport transmembrane protein ABC transporter,nambi_2015_ctpC_vs_nambi_2015_wt,-0.49,0.97527,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0073,Rv0073,Probable glutamine-transport ATP-binding protein ABC transporter,nambi_2015_ctpC_vs_nambi_2015_wt,-0.46,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0074,Rv0074,hypothetical protein,nambi_2015_ctpC_vs_nambi_2015_wt,1.48,0.23125,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
Rv0075,Rv0075,Probable aminotransferase,nambi_2015_ctpC_vs_nambi_2015_wt,-0.04,1,2,2,Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC,The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/
