Rv_ID	gene_name	Description	Final Call	tuberculist_category	NN_joined
Rv0057	-	Hypothetical protein	Non essential	conserved hypotheticals	Rv3286c, Rv1561, Rv1737c, Rv2848c, Rv1129c, Rv3567c, Rv1258c, Rv3307, Rv1130, Rv0694
Rv0058	dnaB	Probable replicative DNA helicase DnaB	Essential	information pathways	Rv3406, Rv3433c, Rv0535, Rv0183, Rv3598c, Rv1032c, Rv0103c, Rv1336, Rv2402, Rv2631
Rv0059	-	Hypothetical protein	Growth advantage	conserved hypotheticals	Rv0286, Rv3547, Rv3083, Rv3607c, Rv0853c, Rv3392c, Rv0813c, Rv1651c, Rv2713, Rv0256c
Rv0060	-	hypothetical protein	Essential	conserved hypotheticals	Rv0596c, Rv3835, Rv0626, Rv0126, Rv1114, Rv0211, Rv2587c, Rv2829c, Rv1259, Rv3240c
Rv0061	-	-	Missing	conserved hypotheticals	Rv2744c, Rv2872, Rv3878, Rv0295c, Rv0888, Rv0823c, Rv0570, Rv3855, Rv3404c, Rv2429
Rv0062	celA1	Possible cellulase CelA1 (endoglucanase) (endo-1,4-beta-glucanase) (FI-cmcase) (carboxymethyl cellulase)	Non essential	intermediary metabolism and respiration	Rv3458c, Rv1295, Rv2388c, Rv1309, Rv2418c, Rv2373c, Rv1297, Rv2682c, Rv3721c, Rv3712
Rv0063	-	Possible oxidoreductase	Non essential	intermediary metabolism and respiration	Rv3389c, Rv1410c, Rv1885c, Rv1917c, Rv0385, Rv0091, Rv1033c, Rv3765c, Rv3097c, Rv3509c
Rv0064	-	Probable conserved transmembrane protein	Non essential	cell wall and cell processes	Rv1306, Rv0503c, Rv2970c, Rv1601, Rv2351c, Rv1651c, Rv1980c, Rv2801A, Rv0334, Rv1983
Rv0065	vapC1	Possible toxin VapC1	Non essential	virulence, detoxification, adaptation	Rv1495, Rv3488, Rv3681c, Rv1130, Rv1596, Rv0019c, Rv2031c, Rv3853, Rv3062, Rv3357
Rv0066c	icd2	Probable isocitrate dehydrogenase [NADP] Icd2 (oxalosuccinate decarboxylase) (IDH) (NADP+-specific ICDH) (IDP)	Non essential	intermediary metabolism and respiration	Rv1170, Rv2454c, Rv2455c, Rv0410c, Rv1512, Rv2837c, Rv3101c, Rv2246, Rv3102c, Rv0946c
Rv0067c	-	Possible transcriptional regulatory protein (possibly TetR-family)	Non essential	regulatory proteins	Rv0438c, Rv3318, Rv3723, Rv3131, Rv3413c, Rv2922c, Rv2719c, Rv3586, Rv1675c, Rv2579
Rv0068	-	Probable oxidoreductase	Non essential	intermediary metabolism and respiration	Rv2386c, Rv1335, Rv3146, Rv3273, Rv3148, Rv3150, Rv0821c, Rv3145, Rv2211c, Rv1492
Rv0069c	sdaA	Probable L-serine dehydratase SdaA (L-serine deaminase) (SDH) (L-SD)	Non essential	intermediary metabolism and respiration	Rv1021, Rv1258c, Rv3307, Rv2848c, Rv1561, Rv1129c, Rv1737c, Rv2031c, Rv1130, Rv1495
Rv0070c	glyA2	Serine hydroxymethyltransferase GlyA2 (serine methylase 2) (SHMT 2)	Non essential	intermediary metabolism and respiration	Rv3537, Rv3881c, Rv1562c, Rv1448c, Rv0418, Rv0208c, Rv0533c, Rv3024c, Rv3853, Rv0749
Rv0071	-	Possible maturase	Non essential	information pathways	Rv3452, Rv3082c, Rv3309c, Rv0987, Rv0277c, Rv0847, Rv1745c, Rv3383c, Rv1207, Rv0408
Rv0072	-	Probable glutamine-transport transmembrane protein ABC transporter	Non essential	cell wall and cell processes	Rv0624, Rv0073, Rv1850, Rv0904c, Rv3744, Rv3581c, Rv2962c, Rv0553, Rv1329c, Rv3097c
Rv0073	-	Probable glutamine-transport ATP-binding protein ABC transporter	Non essential	cell wall and cell processes	Rv0624, Rv1329c, Rv1850, Rv3097c, Rv1205, Rv0867c, Rv1239c, Rv1033c, Rv2584c, Rv2267c
Rv0074	-	hypothetical protein	Non essential	conserved hypotheticals	Rv1288, Rv3573c, Rv1771, Rv0054, Rv2589, Rv2258c, Rv0845, Rv2155c, Rv1294, Rv2537c
Rv0075	-	Probable aminotransferase	Non essential	intermediary metabolism and respiration	Rv0956, Rv1270c, Rv1653, Rv2953, Rv3449, Rv2950c, Rv3534c, Rv0548c, Rv0564c, Rv0869c
Rv0076c	-	Probable membrane protein	Non essential	cell wall and cell processes	Rv2911, Rv0262c, Rv2266, Rv1317c, Rv2027c, Rv0114, Rv2436, Rv3198c, Rv2006, Rv3506
Rv0077c	-	Probable oxidoreductase	Non essential	intermediary metabolism and respiration	Rv1885c, Rv3765c, Rv3389c, Rv1917c, Rv0938, Rv3854c, Rv2584c, Rv3097c, Rv1239c, Rv0553
Rv0078	-	Probable transcriptional regulatory protein	Non essential	regulatory proteins	Rv2112c, Rv3131, Rv3318, Rv2719c, Rv1237, Rv2922c, Rv3413c, Rv3723, Rv1160, Rv1911c
Rv0078A	-	Hypothetical protein	Non essential	conserved hypotheticals	Rv1267c, Rv0754, Rv3655c, Rv0986, Rv3702c, Rv0408, Rv1996, Rv1563c, Rv1731, Rv3704c
Rv0079	-	hypothetical protein	Non essential	conserved hypotheticals	Rv2824c, Rv3409c, Rv2973c, Rv2855, Rv3879c, Rv0116c, Rv2743c, Rv1314c, Rv3273, Rv2136c
Rv0080	-	hypothetical protein	Non essential	conserved hypotheticals	Rv2002, Rv1253, Rv2740, Rv3405c, Rv3600c, Rv0018c, Rv1857, Rv2103c, Rv3416, Rv2602
Rv0081	-	Probable transcriptional regulatory protein	Non essential	regulatory proteins	Rv3234c, Rv1694, Rv0869c, Rv0564c, Rv0292, Rv0385, Rv2228c, Rv3449, Rv0091, Rv3534c
Rv0082	-	Probable oxidoreductase	Non essential	intermediary metabolism and respiration	Rv3168, Rv2252, Rv0668, Rv0013, Rv1629, Rv3911, Rv3724B, Rv1604, Rv2949c, Rv1009
Rv0083	-	Probable oxidoreductase	Non essential	intermediary metabolism and respiration	Rv0899, Rv1212c, Rv2029c, Rv0889c, Rv0819, Rv2982c, Rv0262c, Rv3404c, Rv0114, Rv0888
Rv0084	hycD	Possible formate hydrogenlyase HycD (FHL)	Non essential	intermediary metabolism and respiration	Rv2174, Rv2946c, Rv2005c, Rv0980c, Rv1420, Rv2743c, Rv2583c, Rv3146, Rv2416c, Rv2880c
Rv0085	hycP	Possible hydrogenase HycP	Non essential	intermediary metabolism and respiration	Rv0937c, Rv0020c, Rv0678, Rv1884c, Rv3282, Rv2466c, Rv0130, Rv2217, Rv2276, Rv2673
Rv0086	hycQ	Possible hydrogenase HycQ	Non essential	intermediary metabolism and respiration	Rv3911, Rv3357, Rv3062, Rv3724B, Rv3592, Rv2530c, Rv1009, Rv3681c, Rv1629, Rv0582
Rv0087	hycE	Possible formate hydrogenase HycE (FHL)	Non essential	intermediary metabolism and respiration	Rv3413c, Rv2719c, Rv2112c, Rv1160, Rv3318, Rv3131, Rv1911c, Rv2579, Rv1675c, Rv0438c
Rv0088	-	Possible polyketide cyclase/dehydrase	Non essential	lipid metabolism	Rv3270, Rv3155, Rv1187, Rv1608c, Rv1264, Rv0601c, Rv0220, Rv1218c, Rv1848, Rv1755c
Rv0089	-	Possible methyltransferase/methylase	Non essential	intermediary metabolism and respiration	Rv2549c, Rv2866, Rv3841, Rv2010, Rv0620, Rv1553, Rv0191, Rv0858c, Rv0969, NONE
Rv0090	-	Possible membrane protein	Non essential	cell wall and cell processes	Rv3106, Rv1256c, Rv3366, Rv3822, Rv0977, Rv3740c, Rv3080c, Rv3862c, Rv0630c, Rv3743c
Rv0091	mtn	Probable bifunctional MTA/SAH nucleosidase Mtn: 5'-methylthioadenosine nucleosidase (methylthioadenosine methylthioribohydrolase) + S-adenosylhomocysteine nucleosidase (S-adenosyl-L-homocysteine homocysteinylribohydrolase)	Non essential	intermediary metabolism and respiration	Rv3886c, Rv1694, Rv3509c, Rv3234c, Rv1033c, Rv0385, Rv1410c, Rv2301, Rv0564c, Rv1242
Rv0092	ctpA	Cation transporter P-type ATPase a CtpA	Non essential	cell wall and cell processes	Rv1542c, Rv1736c, Rv3504, Rv3339c, Rv1030, Rv2284, Rv1082, Rv3287c, Rv2601, Rv1634
Rv0093c	-	Probable conserved membrane protein	Non essential	cell wall and cell processes	Rv0022c, Rv1284, Rv0050, Rv3809c, Rv3557c, Rv1860, Rv1108c, Rv2976c, Rv3315c, Rv0864
Rv0094c	-	hypothetical protein	Non essential	insertion seqs and phages	Rv0932c, Rv1032c, Rv3406, Rv0058, Rv2631, Rv0103c, Rv1336, Rv2191, Rv0183, Rv0535
Rv0095c	-	hypothetical protein	Non essential	insertion seqs and phages	Rv1187, Rv3565, Rv3270, Rv1755c, Rv1938, Rv1264, Rv3444c, Rv3155, Rv1608c, Rv1848
Rv0096	PPE1	PPE family protein PPE1	Non essential	PE/PPE	Rv2938, Rv2937, Rv2945c, Rv2942, Rv2936, Rv1099c, Rv3615c, Rv2626c, Rv0008c, Rv3667
Rv0097	-	Possible oxidoreductase	Non essential	intermediary metabolism and respiration	Rv3870, Rv3882c, Rv3871, Rv2069, Rv3877, Rv3883c, Rv3869, Rv1236, Rv3614c, Rv0190
Rv0098	fcoT	Probable fatty acyl CoA thioesterase type III FcoT	Non essential	lipid metabolism	Rv3667, Rv0008c, Rv2626c, Rv2976c, Rv3809c, Rv0050, Rv0022c, Rv0617, Rv1860, Rv3315c
Rv0099	fadD10	Possible fatty-acid-CoA ligase FadD10 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)	Non essential	lipid metabolism	Rv0967, Rv1909c, Rv1698, Rv3874, Rv2378c, Rv1237, Rv1159, Rv2922c, Rv3723, Rv0994
Rv0100	-	hypothetical protein	Non essential	conserved hypotheticals	Rv3505, Rv1701, Rv2051c, Rv3870, Rv0465c, Rv3871, Rv3614c, Rv3873, Rv3882c, Rv2069
Rv0101	nrp	Probable peptide synthetase Nrp (peptide synthase)	Non essential	lipid metabolism	Rv3546, Rv0983, Rv0994, Rv1159, Rv3874, Rv1798, Rv0099, Rv1909c, Rv1447c, Rv2378c
Rv0102	-	Probable conserved integral membrane protein	Essential	cell wall and cell processes	Rv3042c, Rv0736, Rv2753c, Rv3014c, Rv2194, Rv1797, Rv1594, Rv1483, Rv2438c, Rv2746c
Rv0103c	ctpB	Probable cation-transporter P-type ATPase B CtpB	Non essential	cell wall and cell processes	Rv0535, Rv3433c, Rv1032c, Rv0058, Rv2191, Rv1611, Rv2402, Rv1213, Rv3406, Rv0183
Rv0104	-	hypothetical protein	Non essential	conserved hypotheticals	Rv3328c, Rv3812, Rv0192, Rv2964, Rv3313c, Rv0234c, Rv3568c, Rv3223c, Rv3903c, Rv2234
Rv0105c	rpmB1	50S ribosomal protein L28-1 RpmB1	Non essential	information pathways	Rv1284, Rv0022c, Rv0050, Rv3809c, Rv2976c, Rv3557c, Rv1860, Rv1108c, Rv3315c, Rv0864
Rv0106	-	hypothetical protein	Non essential	conserved hypotheticals	Rv2103c, Rv3416, Rv0018c, Rv1346, Rv0734, Rv2740, Rv3132c, Rv1253, Rv3653, NONE
Rv0107c	ctpI	Probable cation-transporter ATPase I CtpI	Non essential	cell wall and cell processes	Rv0764c, Rv3377c, Rv2345, Rv1994c, Rv3581c, Rv1819c, Rv0342, Rv1020, Rv2962c, Rv3879c
Rv0108c	-	Hypothetical protein	Non essential	conserved hypotheticals	Rv0693, Rv0895, Rv1368, Rv3309c, Rv3866, Rv3452, Rv0987, Rv3082c, Rv3826, Rv2427c
Rv0109	PE_PGRS1	PE-PGRS family protein PE_PGRS1	Non essential	PE/PPE	Rv3086, Rv3506, Rv3133c, Rv0182c, Rv1777, Rv2027c, Rv2006, Rv2266, Rv0148, Rv3198c
Rv0110	-	Probable conserved integral membrane protein	Non essential	cell wall and cell processes	Rv0886, Rv3487c, Rv1605, Rv2150c, Rv0669c, Rv0382c, Rv1602, Rv3225c, Rv1384, Rv2294
Rv0111	-	Possible transmembrane acyltransferase	Non essential	intermediary metabolism and respiration	Rv3273, Rv1222, Rv3146, Rv0821c, Rv2174, Rv2386c, Rv2824c, Rv2743c, Rv2005c, Rv1690
Rv0112	gca	Possible GDP-mannose 4,6-dehydratase Gca (GDP-D-mannose dehydratase)	Non essential	cell wall and cell processes	Rv3444c, Rv1608c, Rv1264, Rv2043c, Rv3270, Rv1218c, Rv0601c, Rv3155, Rv1848, Rv0220
Rv0113	gmhA	Probable sedoheptulose-7-phosphate isomerase GmhA (phosphoheptose isomerase)	Non essential	cell wall and cell processes	Rv2623, Rv2801c, Rv3149, Rv1537, Rv2919c, Rv3358, Rv0496, Rv0982, Rv2865, Rv3240c
Rv0114	gmhB	Possible D-alpha,beta-D-heptose-1,7-biphosphate phosphatase GmhB (D-glycero-D-manno-heptose 7-phosphate kinase)	Non essential	cell wall and cell processes	Rv2911, Rv0262c, Rv2436, Rv3198c, Rv1317c, Rv2407, Rv2006, Rv2027c, Rv2289, Rv2958c
Rv0115	hddA	Possible D-alpha-D-heptose-7-phosphate kinase HddA	Non essential	cell wall and cell processes	Rv3392c, Rv3547, Rv3607c, Rv1155, Rv0583c, Rv2063A, Rv2215, Rv0853c, Rv1651c, Rv0032
Rv0116c	ldtA	Probable L,D-transpeptidase LdtA	Non essential	cell wall and cell processes	Rv1314c, Rv2136c, Rv0256c, Rv2855, Rv0079, Rv1399c, Rv1182, Rv2824c, Rv0853c, Rv3409c
Rv0117	oxyS	Oxidative stress response regulatory protein OxyS	Non essential	regulatory proteins	Rv3810, Rv1349, Rv1348, Rv2358, Rv3261, Rv3384c, Rv1280c, Rv2453c, Rv0465c, Rv2737c
Rv0118c	oxcA	Probable oxalyl-CoA decarboxylase OxcA	Non essential	intermediary metabolism and respiration	Rv1196, Rv0518, Rv0757, Rv1106c, Rv2484c, Rv1690, Rv2009, Rv1246c, Rv1552, Rv1511
Rv0119	fadD7	Probable fatty-acid-CoA ligase FadD7 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)	Non essential	lipid metabolism	Rv2404c, Rv3025c, Rv0946c, Rv2391, Rv2246, Rv3764c, Rv1170, Rv0153c, Rv3805c, Rv1908c
Rv0120c	fusA2	Probable elongation factor G FusA2 (EF-G)	Non essential	information pathways	Rv3740c, Rv1308, Rv3225c, Rv2823c, Rv0977, Rv3862c, Rv0630c, Rv3106, Rv3366, Rv1256c
Rv0121c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv1187, Rv2007c, Rv3444c, Rv2043c, Rv1608c, Rv1264, Rv3270, Rv1541c, Rv3155, Rv0601c
Rv0122	-	Hypothetical protein	Non essential	conserved hypotheticals	Rv0582, Rv1629, Rv3687c, Rv3589, Rv0749, Rv3610c, Rv1026, Rv0208c, Rv3592, Rv0948c
Rv0123	-	hypothetical protein	Non essential	conserved hypotheticals	Rv2764c, Rv0287, Rv1002c, Rv3709c, Rv2130c, Rv1092c, Rv0524, Rv2697c, Rv2111c, Rv0721
Rv0124	PE_PGRS2	PE-PGRS family protein PE_PGRS2	Non essential	PE/PPE	Rv3157, Rv0533c, Rv3153, Rv0297, Rv1497, Rv2596, Rv0500, Rv3754, Rv0137c, Rv0418
Rv0125	pepA	Probable serine protease PepA (serine proteinase) (MTB32A)	Non essential	intermediary metabolism and respiration	Rv2780, Rv1931c, Rv0237, Rv0670, Rv0956, Rv1496, Rv1400c, Rv1270c, Rv1027c, Rv3908
